Experiment,User_ID,Turn,Traj_Type,V_state,Action_Q,Advantage,H_state,H_action,Delta_H_state,Delta_H_action,Dissonance,Sys_Strategy,Sys_Category,Prev_User_Strategy,Prev_User_Category
Qwen3-8B,persona_36,2,root,0.8,0.0,-0.8,0.5545563752193174,0.3035468992474182,0.0,0.0,0.25100947597189927,Emotion Appeal,Core Persuasion,Others,Evasion
Qwen3-8B,persona_36,2,branch,0.8,1.0,0.19999999999999996,0.4630415557195373,0.20740804526268672,0.0,0.0,0.25563351045685057,Personal Story,Core Persuasion,Others,Evasion
Qwen3-8B,persona_36,2,branch,0.8,1.0,0.19999999999999996,0.42668048180798696,0.29097350827665336,0.0,0.0,0.1357069735313336,Credibility Appeal,Core Persuasion,Others,Evasion
Qwen3-8B,persona_36,2,branch,0.8,1.0,0.19999999999999996,0.4177402114183428,0.09133346787187534,0.0,0.0,0.3264067435464674,Foot in the Door,Action Facilitation,Others,Evasion
Qwen3-8B,persona_36,2,branch,0.8,1.0,0.19999999999999996,0.49284932919367086,0.47215299076383516,0.0,0.0,0.020696338429835703,Logical Appeal,Core Persuasion,Others,Evasion
Qwen3-8B,persona_36,3,root,0.2,0.0,-0.2,0.3900148401993468,0.3074150966760047,-0.16454153501997065,0.0038681974285865173,0.0825997435233421,Credibility Appeal,Core Persuasion,Information Inquiry,Evasion
Qwen3-8B,persona_36,3,branch,0.2,0.0,-0.2,0.3418241992848348,0.17676807922529172,-0.21273217593448263,-0.12677882002212645,0.1650561200595431,Donation Information,Action Facilitation,Information Inquiry,Evasion
Qwen3-8B,persona_36,3,branch,0.2,1.0,0.8,0.2773570866551149,0.0,-0.27719928856420256,-0.3035468992474182,0.2773570866551149,Source Related Inquiry,Exploration,Information Inquiry,Evasion
Qwen3-8B,persona_36,3,branch,0.2,0.0,-0.2,0.3698003935599166,0.0,-0.18475598165940083,-0.3035468992474182,0.3698003935599166,Source Related Inquiry,Exploration,Information Inquiry,Evasion
Qwen3-8B,persona_36,3,branch,0.2,0.0,-0.2,0.2983640489597259,0.0,-0.25619232625959154,-0.3035468992474182,0.2983640489597259,Donation Information,Action Facilitation,Information Inquiry,Evasion
Qwen3-8B,persona_36,4,root,0.8,0.0,-0.8,0.5042664671272546,0.14673189215136506,0.11425162692790786,-0.16068320452463963,0.3575345749758896,Foot in the Door,Action Facilitation,Hesitance,Evasion
Qwen3-8B,persona_36,4,branch,0.8,1.0,0.19999999999999996,0.4617045478767514,0.33659266887802186,0.07168970767740462,0.029177572202017166,0.12511187899872955,Task Related Inquiry,Exploration,Hesitance,Evasion
Qwen3-8B,persona_36,4,branch,0.8,1.0,0.19999999999999996,0.38816049915757256,0.2096533584007215,-0.0018543410417742323,-0.0977617382752832,0.17850714075685106,Self Modeling,Action Facilitation,Hesitance,Evasion
Qwen3-8B,persona_36,4,branch,0.8,1.0,0.19999999999999996,0.3483019534437862,0.33326228421614335,-0.04171288675556056,0.02584718754013865,0.015039669227642882,Personal Story,Core Persuasion,Hesitance,Evasion
Qwen3-8B,persona_36,4,branch,0.8,1.0,0.19999999999999996,0.416788520437965,0.23310183128203615,0.026773680238618203,-0.07431326539396854,0.18368668915592884,Self Modeling,Action Facilitation,Hesitance,Evasion
Qwen3-8B,persona_36,5,root,0.0,0.0,0.0,0.5906913497889196,0.4513030870938565,0.08642488266166493,0.30457119494249146,0.13938826269506305,Self Modeling,Action Facilitation,Hesitance,Evasion
Qwen3-8B,persona_36,5,branch,0.0,0.0,0.0,0.373913104454706,0.11317991992861702,-0.13035336267254866,-0.03355197222274804,0.26073318452608896,Personal Related Inquiry,Exploration,Hesitance,Evasion
Qwen3-8B,persona_36,5,branch,0.0,0.0,0.0,0.5015334450339524,0.0,-0.002733022093302284,-0.14673189215136506,0.5015334450339524,Personal Story,Core Persuasion,Hesitance,Evasion
Qwen3-8B,persona_36,5,branch,0.0,0.0,0.0,0.39782194554571326,0.0,-0.10644452158154138,-0.14673189215136506,0.39782194554571326,Foot in the Door,Action Facilitation,Hesitance,Evasion
Qwen3-8B,persona_36,5,branch,0.0,0.0,0.0,0.4010740301377023,0.31899763588586727,-0.10319243698955233,0.1722657437345022,0.08207639425183505,Task Related Inquiry,Exploration,Hesitance,Evasion
Qwen3-8B,persona_36,6,root,0.0,0.0,0.0,0.5265482513035806,0.45144518020970253,-0.06414309848533895,0.00014209311584600925,0.0751030710938781,Task Related Inquiry,Exploration,Hesitance,Evasion
Qwen3-8B,persona_36,6,branch,0.0,0.0,0.0,0.49434740059086824,0.19406771129667325,-0.09634394919805134,-0.25723537579718325,0.300279689294195,Personal Related Inquiry,Exploration,Hesitance,Evasion
